Sample,Site,Sodium,Oxygen,Magnesium,Potassium,Calcium,Titanium,Iron,Aluminium,Silicon,Lead,Manganese,Chlorine,Silver,Gold,Barium,Strontium,Copper,Nickel,Sulfur,Phosphorus,Rhodium,Tin,Chromium,Arsenic,Zinc
EB005,Kilwa,1.207680288,1.6e-06,0.094386952,0.0,3.134449407,0.176351363,74.21041899999999,1.834800481,17.51930502,0.01805684,0.05117855,0.0,0.0,0.0043140470000000005,0.038837926,0.027354513,0.0007126289999999999,0.006768531,0.8078737509999999,0.867509104,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,7.139999999999999e-08,0.077278573,0.112684123,1.701344754,0.150295691,78.90204416,1.33899442,17.5162017,0.010348798,0.068091215,0.0,0.0,0.031314953,0.0,0.01798398,0.0,0.0,0.031356954,0.042060604,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,-1.3e-06,0.166517117,0.261423258,2.0383312,0.124420036,76.54993135,1.498002129,19.03428206,0.022422897,0.100809256,0.02406942,0.0,0.038198704,0.01160033,0.026263569,0.0,0.0,0.038252445,0.065477528,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,3.85e-07,0.111906286,0.16410856,1.555043093,0.17536929699999998,77.46410459,1.222445052,19.02272505,0.050164967000000005,0.105283685,0.015968401,0.0,0.011881411,0.009349747,0.019069431,0.023835076,0.0,0.004182889,0.044562074000000014,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,-1.19e-06,0.107344925,0.443994704,2.773369894,0.16083478199999998,75.38271471,2.178886373,18.62745254,0.021293281,0.056623823,0.0,0.0,0.036224917,0.028328608,0.033115427999999995,0.024863059,0.0,0.06449977400000001,0.040204079,0,0.0202503,0.0,0.0,0.0
EB005,Kilwa,0.0,4.63e-09,0.118815699,0.434788559,3.875111409,0.18801406,74.48280925,2.3820491130000003,18.23489556,0.013897162,0.050403388,0.0,0.0,0.028675903,0.0,0.056795827,0.007779822,0.0,0.035392513,0.09057172,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,5.28e-08,0.071439155,0.34186058700000005,4.396349845,0.120509293,73.69066771,1.545310399,19.53539829,0.016557563,0.049939987000000005,0.025409825,0.0,0.002098679,0.042118068,0.039253957,0.020436603,0.002421595,0.054152468,0.046075924,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,-1.62e-06,0.21541672,0.318848791,5.331294369,0.120079036,70.58747878,1.5517262719999998,21.60324667,0.011859056,0.053852624,0.0,0.0,0.026779546,0.05484883,0.038013243,0.000392115,0.0,0.034408992,0.051756568,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,2.44e-06,0.373710856,0.212580974,6.600972164,0.101754322,65.09900494,1.3607314380000002,25.43233774,0.026729831000000003,0.101893571,0.041489856,0.0,0.000609806,0.0,0.031939166,0.003489373,0.0,0.225347525,0.387406004,0,0.0,0.0,0.0,0.0
EB005,Kilwa,0.0,-3.17e-06,0.040159256,0.510632457,3.5794752739999995,0.24924192,75.85021406,2.547156106,16.9243837,0.019439587,0.049301113,0.0,0.0,0.007932722,0.0,0.055364181,0.008965727,0.0,0.050463682,0.107273383,0,0.0,0.0,0.0,0.0
EB008,Kilwa,0.333590062,1.4e-06,1.550510282,1.064136662,7.1191336010000015,0.416155063,57.16943792,7.082390003,22.20192425,0.007090516,0.99834158,0.0,0.0,0.0,0.0,0.07041252099999999,0.00014264,0.0,0.14665498300000002,1.817649786,0,0.0,0.018937897,0.0,0.00349083
